id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender,city,age
4,Лариса,Гайдабура,2004-05-05,46.0,0,0,Female,Нова Одеса,19.81055299014225
5,Лариса,Цушко,2008-06-05,82.0,9,4,Female,Рудки,15.722881757265538
6,Аліна,Іванченко,2006-06-09,87.0,8,2,Female,Сімферополь,17.714662579183347
8,Марта,Демʼяненко,1995-07-18,32.0,8,8,Female,Перечин,28.616032442197046
9,Тетяна,Тарасенко,1998-04-22,89.0,2,0,Female,Мерефа,25.85164888055321
12,Ганна,Ґереґа,2003-08-20,47.0,8,4,Female,Коломия,20.52014203123814
13,Марʼяна,Чаленко,2005-02-26,42.0,9,0,Female,Харцизьк,18.996854360005266
14,Оксенія,Рудько,2008-04-21,39.0,8,5,Female,Горохів,15.846169428498415
21,Марʼяна,Дубенко,2000-11-03,98.0,4,3,Female,Покровськ,23.314662579183345
22,Наталія,Конопленко,1997-06-08,38.0,5,4,Female,Ромни,26.722881757265537
23,Данна,Зінкевич,1998-02-28,96.0,4,4,Female,Горлівка,25.996854360005266
28,Пріска,Василевич,2003-04-08,85.0,8,6,Female,Василівка ,20.887265318909375
29,Емілія,Юхименко,1993-08-17,46.0,5,3,Female,Миронівка,30.533840661375127
31,Марʼяна,Цісик,1995-07-22,71.0,2,2,Female,Амвросіївка,28.605073538087456
33,Аніта,Сич,1996-02-28,38.0,8,4,Female,Гірське,27.999594086032662
34,Тетяна,Стус,1994-10-03,40.0,4,2,Female,Яворів,29.405073538087457
36,Оксана,Токар,2001-06-24,70.0,2,2,Female,Бахчисарай,22.676306414799786
43,Вікторія,Худобʼяк,2000-06-28,88.0,9,2,Female,Судак ,23.665347510690196
44,Варвара,Влох,1995-05-01,55.0,10,8,Female,Ялта,28.82973107233403
45,Аніта,Заїка,2008-10-13,34.0,6,6,Female,Лутугине,15.366717373703894
50,Олена,Гунько,1998-07-24,14.0,10,5,Female,Бахмач,25.596854360005263
51,Роксолана,Чарниш,1993-06-10,93.0,4,1,Female,Мала Виска,30.72014203123814
52,Святослава,Верхола,2002-06-23,70.0,9,3,Female,Монастирище,21.679046140827182
53,Амалія,Щириця,2004-03-09,3.0,1,1,Female,Немирів,19.966717373703894
54,Оксана,Цимбалюк,1998-12-21,42.0,3,1,Female,Прип'ять ,25.185895455895675
55,Пріска,Корсун,1995-04-30,29.0,8,5,Female,Хрустальний,28.832470798361427
57,Оксана,Дубенко,2005-03-10,77.0,9,6,Female,Городок,18.963977647676497
62,Богуслава,Юхименко,2004-12-16,54.0,8,7,Female,Олешки,19.19411463397787
64,Любов,Бабійчук,2006-11-20,50.0,10,5,Female,Красилів,17.265347510690194
65,Алла,Колісниченко,2008-04-12,37.0,6,1,Female,Яготин,15.87082696274499
70,Марʼяна,Сич,2005-05-23,90.0,3,0,Female,Петрово-Красносілля,18.7612379216491
71,Аліна,Колісниченко,1999-10-04,36.0,10,7,Female,Рубіжне,24.39959408603266
75,Данна,Коваленко,1994-09-20,37.0,8,0,Female,Березівка,29.440689976443622
77,Дарина,Матвієнко,2005-05-26,15.0,1,1,Female,Рудки,18.75301874356691
78,Галина,Лаба,2004-07-31,90.0,9,6,Female,Білгород-Дністровський,19.572196825758688
84,Марія,Шелест,2006-07-22,1.0,1,1,Female,Яготин,17.596854360005263
88,Дарина,Верхола,1999-02-03,21.0,6,0,Female,Березань ,25.065347510690195
91,Дарина,Забіла,1993-03-11,64.0,1,1,Female,Гайсин,30.96945709973129
92,Вікторія,Назаренко,2004-08-15,22.0,10,10,Female,Овруч,19.53110093534773
94,Тетяна,Вітрук,2008-05-06,45.0,9,7,Female,Алмазна,15.805073538087456
96,Пріска,Воблий,1997-11-03,37.0,8,3,Female,Острог,26.317402305210745
105,Юстина,Канівець,2005-02-04,30.0,5,0,Female,Кагарлик,19.057128332608002
106,Наталія,Єрошенко,2005-08-06,44.0,3,0,Female,Ровеньки,18.555758469594306
108,Володимира,Гаврилів,2001-03-12,47.0,10,5,Female,Краматорськ,22.9612379216491
109,Сніжана,Шухевич,2005-06-19,79.0,3,0,Female,Горохів,18.687265318909375
111,Данна,Верхола,2008-08-08,51.0,6,6,Female,Миргород,15.547539291512113
113,Тетяна,Матяш,2004-12-30,37.0,9,7,Female,Амвросіївка,19.155758469594304
117,Василина,Демʼянюк,1993-05-10,54.0,9,2,Female,Коломия,30.805073538087456
118,Анастасія,Михалюк,2001-07-24,23.0,10,4,Female,Зимогір'я,22.594114633977867
119,Марʼяна,Гузенко,2001-09-24,56.0,0,0,Female,Дубно,22.424251620279236
121,Орина,Худобʼяк,2005-12-14,75.0,4,3,Female,Путивль,18.19959408603266
122,Розалія,Андрусенко,2006-12-23,87.0,7,5,Female,Першотравенськ,17.174936551786086
123,Софія,Дацюк,2002-12-12,21.0,7,3,Female,Кіцмань,21.207813264114854
125,Дарина,Ващук,1998-05-29,46.0,0,0,Female,Щастя ,25.750279017539512
128,Емілія,Вакуленко,1999-10-12,94.0,10,0,Female,Світловодськ,24.37767627781348
129,Марʼяна,Савенко,2001-07-09,37.0,8,8,Female,Баранівка,22.635210524388825
130,Марина,Саченко,1996-10-04,51.0,4,1,Female,Винники,27.39959408603266
131,Галина,Бабʼюк,1999-02-27,6.0,10,0,Female,Єнакієве,24.999594086032662
132,Ірена,Габелко,2003-02-01,64.0,0,0,Female,Тиврів,21.06808723671759
133,Ірина,Атаманчук,2008-01-03,5.0,3,2,Female,Амвросіївка,16.144799565484718
135,Ліза,Рудько,1999-05-20,62.0,7,2,Female,Львів,24.774936551786087
137,Марʼяна,Охримович,1999-11-01,24.0,5,5,Female,Ходорів,24.322881757265538
138,Аліна,Пелех,2005-04-05,16.0,6,3,Female,Перещепине,18.892744770964168
139,Віолетта,Зінченко,2007-08-28,4.0,9,9,Female,Яготин,16.495484496991565
140,Анастасія,Атаманюк,2001-08-08,73.0,7,5,Female,Борзна,22.55301874356691
144,Оксана,Вишняк,2005-01-18,50.0,7,7,Female,Гайворон,19.103703675073756
145,Віолетта,Зубко,2003-02-02,74.0,3,1,Female,Канів,21.065347510690195
147,Василина,Тесленко,2006-07-30,6.0,7,2,Female,Одеса,17.574936551786084
149,Софія,Бабенко,2002-01-03,88.0,0,0,Female,Луцьк,22.147539291512114
150,Маруся,Бгиденко,2007-06-29,27.0,3,2,Female,Волноваха,16.6598680586354
153,Еріка,Затовканюк,2006-09-17,92.0,1,0,Female,Соледар,17.440689976443622
154,Ліза,Вакарчук,1994-04-25,89.0,0,0,Female,Зимогір'я,29.846169428498413
160,Мілена,Гайда,2007-07-17,100.0,9,2,Female,Іршава,16.61055299014225
161,Анастасія,Пʼятаченко,2003-04-01,42.0,9,0,Female,Славутич,20.906443401101154
162,Світлана,Семенченко,1996-08-07,82.0,1,0,Female,Дубляни,27.558498195621702
163,Єлисавета,Міщенко,1995-05-08,75.0,0,0,Female,Кременець,28.81055299014225
164,Анастасія,Приходько,1995-11-25,80.0,4,4,Female,Очаків,28.2598680586354
168,Софія,Баран,2002-04-10,10.0,9,7,Female,Угнів,21.881785866854578
172,Ірина,Деревʼянко,1999-03-31,73.0,3,3,Female,Олександрівськ,24.91192285315595
174,Лариса,Чайка,1997-11-09,44.0,7,2,Female,Попасна,26.30096394904636
175,Ірина,Безбородьки,1997-10-08,87.0,8,1,Female,Хоростків,26.38863518192307
177,Емілія,Михайлюк,2008-08-04,92.0,9,4,Female,Броди,15.558498195621702
179,Марина,Андрейко,2002-11-24,19.0,2,1,Female,Носівка,21.257128332608005
182,Розалія,Парасюк,1997-02-06,84.0,1,0,Female,Одеса,27.057128332608002
183,Михайлина,Пилипенко,1998-10-30,39.0,9,5,Female,Заставна,25.32836120932033
184,Альбіна,Конопля,2005-01-04,75.0,2,0,Female,Новоград-Волинський,19.142059839457318
186,Аліна,Іванченко,1996-01-18,99.0,10,3,Female,Белз,28.11192285315595
187,Альбіна,Гунько,1995-01-08,75.0,5,4,Female,Обухів,29.13932011342992
188,Людмила,Тесля,2008-02-02,69.0,4,0,Female,Кам'янка (Черкаська область),16.0626077846628
189,Єва,Удовенко,2008-09-15,51.0,0,0,Female,Кропивницький,15.443429702471018
192,Тереза,Вергун,1999-02-01,62.0,7,1,Female,Гребінка,25.07082696274499
193,Вікторія,Алексійчук,2005-09-06,95.0,4,0,Female,Борщів,18.47082696274499
194,Вікторія,Дубас,1996-10-02,14.0,8,4,Female,Новоукраїнка,27.405073538087457
209,Тереза,Артим,2007-09-06,43.0,10,10,Female,Бібрка,16.47082696274499
212,Єва,Височан,2003-08-17,41.0,3,1,Female,Козятин,20.528361209320334
213,Михайлина,Шведченко,2000-02-08,61.0,3,2,Female,Жидачів,24.05164888055321
221,Тереза,Гавриленко,1996-09-26,69.0,0,0,Female,Ржищів,27.42151189425184
222,Варвара,Шведченко,2003-06-17,37.0,10,1,Female,Ровеньки,20.695484496991565
223,Амалія,Арсенич,2006-10-12,19.0,3,3,Female,Малин,17.37219682575869
224,Марина,Заєць,1998-08-05,5.0,7,1,Female,Ланівці,25.5639776476765
225,Маруся,Батюк,2007-10-24,45.0,9,9,Female,Горішні Плавні,16.33932011342992
226,Аліна,Бандурка,2001-12-18,5.0,3,1,Female,Трускавець,22.19137490795047
227,Ганна,Макаренко,2007-06-10,95.0,10,7,Female,Попасна,16.71192285315595
228,Єлисавета,Саєнко,1994-07-07,94.0,0,0,Female,Українськ,29.646169428498414
229,Василина,Худяк,1997-06-11,79.0,1,0,Female,Донецьк,26.714662579183347
230,Марина,Ґерус,2006-09-29,97.0,5,0,Female,Ямпіль,17.407813264114854
231,Михайлина,Носаченко,2004-11-11,20.0,5,3,Female,Южноукраїнськ,19.29000504493677
233,Альбіна,Їжак,2001-02-12,51.0,0,0,Female,Пирятин,23.037950250416223
235,Алла,Удовиченко,1994-03-15,81.0,8,4,Female,Мостиська,29.9584981956217
237,Ярина,Дубенко,1996-07-19,13.0,7,1,Female,Ровеньки,27.61055299014225
240,Лариса,Дубас,1994-07-21,9.0,3,0,Female,Вараш,29.607813264114853
241,Ярослава,Яценко,2004-08-08,85.0,10,7,Female,Броди,19.55027901753951
243,Ганна,Тичина,1998-09-19,5.0,3,0,Female,Снігурівка,25.440689976443622
244,Мілена,Лагода,2006-06-29,44.0,5,0,Female,Севастополь,17.6598680586354
246,Олена,Давимука,1999-12-22,64.0,10,5,Female,Рудки,24.18315572986828
247,Богданна,Колісниченко,1997-05-12,64.0,5,1,Female,Інкерман,26.796854360005263
248,Розалія,Шахрай,1996-08-13,12.0,0,0,Female,Берегове,27.54205983945732
251,Дарина,Єрмоленко,2006-01-12,100.0,1,1,Female,Часів Яр,18.120142031238142
252,Христина,Рябошапка,2006-01-29,74.0,5,5,Female,Кременець,18.073566688772388
253,Олена,Єщенко,2004-04-06,73.0,5,3,Female,Кадіївка,19.89000504493677
255,Віра,Дахно,2008-02-29,40.0,3,1,Female,Вознесенівка,15.988635181923073
256,Аніта,Товстоліс,2000-05-14,29.0,0,0,Female,Судова Вишня,23.788635181923073
257,Орися,Онуфрієнко,2002-01-12,83.0,1,0,Female,Угнів,22.12288175726554
259,Едита,Жарко,1995-05-12,14.0,4,1,Female,Новий Калинів,28.799594086032663
260,Володимира,Гавриленко,2000-05-07,79.0,8,4,Female,Гуляйполе,23.807813264114852
261,Михайлина,Аврамчук,1994-01-11,1.0,4,2,Female,Старий Крим,30.131100935347728
264,Любов,Заруба,1996-07-26,77.0,2,0,Female,Генічеськ,27.59137490795047
267,Віра,Алексійчук,1998-12-22,62.0,0,0,Female,Перемишляни,25.18315572986828
268,Едита,Акуленко,1998-05-12,11.0,10,2,Female,Березне,25.796854360005263
269,Володимира,Гоголь,1998-05-31,80.0,0,0,Female,Вишневе ,25.744799565484715
270,Амалія,Чміль,1994-01-11,94.0,0,0,Female,Прилуки,30.131100935347728
271,Орися,Бабиченко,2000-06-24,19.0,10,5,Female,Решетилівка,23.676306414799786
273,Світлана,Масоха,2003-04-24,42.0,1,1,Female,Гуляйполе,20.843429702471017
274,Валентина,Ковалюк,1996-03-17,66.0,10,8,Female,Сколе,27.95027901753951
275,Вікторія,Ісаєвич,1997-03-10,64.0,4,4,Female,Полонне,26.96945709973129
276,Віолетта,Ляшко,1994-11-06,87.0,1,0,Female,Хуст,29.31192285315595
277,Камілла,Медведенко,2006-03-20,2.0,9,9,Female,Сокаль,17.936580387402525
279,Соломія,Юрчук,1999-02-13,23.0,0,0,Female,Могилів-Подільський,25.037950250416223
