id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender
0,Борислав,Медведенко,1995-01-11,12,10,7,Male
1,Данна,Яремків,1998-05-17,41,1,3,Female
2,Костянтин,Цимбалюк,2005-02-10,68,9,2,Male
3,Микита,Сиротенко,1993-06-03,85,8,10,Male
4,Данило,Верхола,2008-06-13,33,4,6,Male
5,Валерій,Цимбал,2002-11-27,70,7,9,Male
6,Борис,Оробець,2006-11-26,5,2,2,Male
7,Микита,Єременко,1993-06-09,4,3,10,Male
8,Леонід,Ящук,2005-09-18,17,4,7,Male
9,Ада,Вдовиченко,1996-11-11,48,5,0,Female
10,Пріска,Фесенко,2004-06-05,13,7,4,Female
11,Герман,Килимник,2004-04-14,45,1,4,Male
12,Варфоломій,Харченко,1994-12-18,17,10,8,Male
13,Пріска,Гаврюшенко,2001-06-27,14,5,1,Female
14,Лілія,Бабиченко,1994-06-16,29,3,4,Female
15,Ілля,Перепелиця,2006-06-26,26,10,7,Male
16,Софія,Артимович,2001-05-11,64,7,9,Female
17,Варфоломій,Павленко,2004-09-29,35,3,2,Male
18,Орися,Супруненко,2006-07-16,17,5,9,Female
19,Ярина,Гузій,1994-12-11,82,10,1,Female
20,Арсен,Годунок,1997-03-06,2,6,4,Male
21,Вʼячеслав,Іванченко,2006-01-20,52,9,9,Male
22,Єва,Іващенко,2002-02-11,5,8,4,Female
23,Емілія,Шухевич,2002-08-30,5,9,9,Female
24,Алевтин,Голобородько,1995-04-13,4,8,0,Male
25,Ярина,Ященко,1998-09-15,56,6,1,Female
26,Лілія,Редько,2003-01-18,16,1,3,Female
27,Юхим,Ващенко,2001-10-25,99,7,5,Male
28,Петро,Деряжний,2003-06-22,26,6,5,Male
29,Леон,Лемешко,1994-01-14,15,3,10,Male
30,Валентина,Іщак,1999-06-05,7,1,9,Female
31,Марія,Пилипенко,2003-07-27,65,6,8,Female
32,Владислав,Усик,1997-06-06,77,5,0,Male
33,Марія,Захарченко,2002-11-15,30,7,4,Female
34,Ада,Дашенко,1994-09-19,73,0,10,Female
35,Соломія,Засенко,2008-01-30,57,7,9,Female
36,Андрій,Вівчаренко,2007-02-25,8,0,6,Male
37,Юстим,Вернигора,2006-03-06,68,0,6,Male
38,Златослава,Бандера,1996-05-02,72,10,4,Female
39,Маруся,Жученко,1998-12-15,31,4,8,Female
40,Андрій,Комар,1997-03-16,94,4,8,Male
41,Владислав,Панчук,1995-02-26,57,2,1,Male
42,Макар,Іщак,2001-06-23,32,10,2,Male
43,Станіслав,Приймак,1999-09-17,8,9,0,Male
44,Ігор,Ільєнко,2001-04-09,25,10,2,Male
45,Софія,Швачко,2000-08-14,65,4,7,Female
46,Юхим,Авдєєнко,2005-01-03,4,2,3,Male
47,Камілла,Скирда,1996-07-29,80,10,9,Female
48,Аліна,Карась,2003-02-23,13,6,10,Female
49,Нестор,Іванченко,2004-07-10,34,8,2,Male
50,Августин,Швачко,1999-09-22,77,4,8,Male
51,Руслан,Тимчук,2008-03-28,99,0,9,Male
52,Йосип,Штокало,2001-03-29,94,5,5,Male
53,Пріска,Дацюк,1995-03-22,71,6,5,Female
54,Єва,Ґалаґан,1996-07-10,54,9,2,Female
55,Геннадій,Медведенко,2007-10-27,47,6,3,Male
56,Вадим,Піддубний,2009-02-14,64,4,5,Male
57,Степан,Чуприна,2005-08-09,4,10,1,Male
58,Назар,Тимченко,2001-02-13,25,0,7,Male
59,Ольга,Тимченко,2007-06-23,76,5,8,Female
60,Тетяна,Запорожець,1993-06-28,54,1,5,Female
61,Юхим,Гузенко,2001-07-01,97,6,4,Male
62,Климент,Негода,2003-01-22,13,10,6,Male
63,Ліза,Адамчук,2003-05-18,25,4,3,Female
64,Іван,Зінкевич,1997-10-03,44,6,7,Male
65,Роксолана,Ященко,1997-03-12,46,2,5,Female
66,Розалія,Рудько,2008-03-09,80,2,5,Female
67,Назар,Гаврюшенко,1997-10-21,65,9,7,Male
68,Миколай,Онуфрієнко,1999-05-21,71,1,3,Male
69,Марта,Цимбалюк,2004-02-27,32,5,4,Female
70,Віталій,Рябошапка,1997-08-08,5,5,10,Male
71,Павло,Гаєвський,2003-07-18,68,0,8,Male
72,Панас,Гаврилюк,2004-02-21,14,6,6,Male
73,Арсен,Ємець,1997-11-24,70,1,2,Male
74,Ада,Вернигора,1994-03-07,49,6,0,Female
75,Варвара,Бабич,1995-05-05,55,0,1,Female
76,Федір,Рябовіл,2004-02-10,82,4,10,Male
77,Георгій,Забара,2001-03-10,28,1,9,Male
78,Дан,Сиротенко,1996-09-21,71,1,8,Male
79,Володимира,Петрик,2003-10-07,6,6,4,Female
80,Єва,Верменич,2003-07-18,62,1,6,Female
81,Нестор,Гайденко,2000-01-30,79,2,1,Male
82,Орест,Єременко,1993-05-20,44,10,0,Male
83,Камілла,Бабич,2008-09-14,56,10,3,Female
84,Галина,Павлик,2006-03-19,16,4,0,Female
85,Ростислав,Шило,1998-02-14,70,2,10,Male
86,Геннадій,Лазаренко,2009-01-22,35,4,2,Male
87,Орест,Гайдамака,2000-11-15,92,8,4,Male
88,Едуард,Зарудний,1998-09-02,97,4,9,Male
89,Кирило,Михалюк,1994-06-22,22,10,10,Male
90,Степан,Терещенко,2004-10-18,59,2,6,Male
91,Анастасія,Петлюра,2000-08-19,17,5,2,Female
92,Костянтин,Артим,2006-06-05,67,2,7,Male
93,Алевтин,Доценко,1997-06-26,78,3,6,Male
94,Гаврило,Аронець,1997-06-24,48,1,1,Male
95,Альберт,Бебешко,2008-06-17,100,9,8,Male
96,Софія,Артимишин,1993-06-16,5,7,4,Female
97,Златослава,Андрощук,2007-07-29,10,5,7,Female
98,Федір,Романенко,2004-09-04,5,10,6,Male
99,Леонід,Гайда,2007-02-05,34,2,2,Male
100,Феофан,Цісик,2003-04-08,97,5,5,Male
101,Орися,Луценко,1994-10-27,26,9,9,Female
102,Валентин,Ванченко,1998-12-27,28,3,7,Male
103,Болеслав,Бабич,1995-08-25,22,3,6,Male
104,Валентина,Кириленко,2004-09-12,99,1,10,Female
105,Спас,Полтавець,2005-05-20,72,3,9,Male
106,Ярина,Рябченко,2004-01-20,17,10,4,Female
107,Алла,Христич,2005-12-20,55,10,0,Female
108,Надія,Цибуленко,2002-04-18,67,3,3,Female
109,Олена,Чаленко,2004-09-07,2,1,9,Female
110,Леонід,Єресько,1994-10-07,3,5,1,Male
111,Пармен,Хмара,1998-12-24,79,8,3,Male
112,Амалія,Ейбоженко,2003-08-31,11,10,6,Female
113,Леонід,Цюцюра,1996-07-26,8,8,7,Male
114,Златослава,Усик,1998-06-07,55,9,2,Female
115,Арсен,Вдовиченко,2009-02-26,15,4,2,Male
116,Павло,Тесля,2007-04-04,84,9,5,Male
117,Семен,Матяш,2001-01-20,57,8,7,Male
118,Галина,Власюк,2004-01-22,43,8,3,Female
119,Федір,Стець,2007-06-06,14,2,6,Male
120,Леонід,Приймак,2003-01-28,86,1,2,Male
121,Петро,Цюпа,2008-09-01,7,9,8,Male
122,Охрім,Сіробаба,2007-01-11,53,0,7,Male
123,Ігор,Забарний,2003-05-04,86,8,1,Male
124,Богдан,Олійник,1999-12-14,51,9,6,Male
125,Ліза,Гриценко,2006-05-07,52,0,9,Female
126,Пріска,Байдак,2003-04-11,18,9,5,Female
127,Михайлина,Власенко,2005-05-19,43,8,10,Female
128,Тетяна,Башполченко,2003-10-22,74,3,1,Female
129,Юстина,Зарудний,1996-07-11,9,8,6,Female
130,Ярослава,Демиденко,1993-08-10,56,9,5,Female
131,Борислав,Оробець,1999-06-28,94,0,5,Male
132,Михайлина,Запорожець,1999-12-24,95,10,6,Female
133,Олена,Дрозденко,2001-10-25,89,0,7,Female
134,Геннадій,Акуленко,2002-01-03,66,10,7,Male
135,Валентина,Радченко,2002-10-04,69,1,4,Female
136,Вадим,Притула,1995-06-05,19,2,3,Male
137,Михайлина,Свистун,1993-12-01,64,2,0,Female
138,Оксана,Гузенко,1995-05-15,38,5,8,Female
139,Ярина,Лупій,2002-07-25,60,6,6,Female
140,Станіслав,Андрійович,2003-01-11,71,5,0,Male
141,Азар,Масляк,2000-02-13,47,10,6,Male
142,Климент,Тимченко,2005-05-22,81,8,3,Male
143,Єва,Охримович,2006-04-21,1,0,1,Female
144,Маруся,Корж,1999-12-14,35,2,1,Female
145,Аніта,Карпенко,2002-12-04,79,4,3,Female
146,Аніта,Ляшко,1995-08-29,4,10,4,Female
147,Володимир,Медведенко,1993-11-30,94,2,0,Male
148,Теодор,Сірко,2005-12-23,63,0,2,Male
149,Емілія,Фесенко,1994-05-13,31,3,6,Female
150,Аніта,Бабариченко,2006-02-07,46,3,9,Female
151,Мирослав,Кальченко,2006-11-02,68,2,2,Male
152,Одарка,Єременко,2006-07-29,34,2,0,Female
153,Орина,Гупало,1999-11-21,75,6,5,Female
154,Данна,Лубенець,1997-10-14,63,10,1,Female
155,Мілена,Короленко,2002-07-30,21,8,7,Female
156,Тарас,Масоха,1999-02-08,17,8,10,Male
