id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender,city
0,Étienne,Paul,1997-02-20,16,4,2,Male,Roger-la-Forêt
1,Anaïs,Meunier,1998-01-15,90,6,0,Female,Laurent
2,Christophe,Maillot,2000-12-23,87,5,1,Male,Clément
3,François,Lacroix,1998-04-17,78,5,2,Male,Sainte Benjamindan
4,Véronique,Bonneau,2008-07-12,85,8,5,Female,Lebon-sur-Hoareau
5,Victor,Dumas,2001-09-09,60,10,5,Male,Marques
6,Aimé,Tanguy,1994-04-11,97,1,0,Male,Alves
7,Noémi,Daniel,1994-03-24,59,10,0,Female,Saint Louise
8,Dorothée,Arnaud,2002-05-12,48,4,4,Female,CoulonVille
9,Laurence,Daniel,2007-04-11,12,7,4,Female,Clément-sur-Pineau
10,Nathalie,Leroy,1999-04-27,100,3,2,Female,Sainte Alexandrie
11,Grégoire,Lebrun,2007-04-23,87,8,7,Male,Vincentnec
12,Lucy,Klein,1993-07-27,40,10,2,Female,Didier-la-Forêt
13,Madeleine,Richard,1997-03-24,62,7,3,Female,Martin-sur-Launay
14,Margot,Chevallier,1998-07-04,41,2,1,Female,Roger
15,Frédéric,Masse,2004-05-30,76,7,0,Male,Ribeiro-sur-Germain
16,Monique,Marchand,2001-10-10,11,4,1,Female,Sainte Alice
17,Michèle,Leleu,1995-03-30,50,5,4,Female,BergerBourg
18,Madeleine,Coulon,1993-03-28,43,8,3,Female,Sainte Christophe
19,Timothée,Lagarde,1994-01-08,68,1,0,Male,Blin
20,Joséphine,Dias,2006-02-27,3,6,3,Female,Parent
21,Auguste,Pineau,2006-02-07,56,7,4,Male,Roux
22,Josette,Auger,2000-08-02,28,10,0,Female,Giraud
23,Pénélope,Godard,1996-04-11,3,1,1,Female,Sainte Éric-sur-Mer
24,Gabrielle,Baron,1998-04-13,51,8,0,Female,Regnier
25,Aimé,Delaunay,1999-10-01,86,5,5,Male,Voisindan
26,Édith,Jacquot,2005-12-17,14,3,3,Female,Malletboeuf
27,Luce,Fischer,2003-08-10,10,8,6,Female,Launay
28,Danielle,Merle,1996-03-20,8,3,1,Female,Chauveau-sur-Paul
29,Bernadette,Gérard,1995-09-30,53,3,0,Female,Descamps
30,Audrey,Hernandez,1996-07-07,89,4,4,Female,Bourdon
31,Bernadette,Pasquier,1997-06-05,63,6,0,Female,Legros
32,Valentine,Bourdon,1998-08-14,62,0,0,Female,Berthelot
33,Auguste,Adam,1993-11-01,26,0,0,Male,Laportedan
34,Eugène,Gomez,2005-01-31,6,4,3,Male,Rémynec
35,Noël,Pereira,2001-05-22,2,8,7,Male,LacroixBourg
36,Claire,Verdier,1995-03-15,34,5,0,Female,Saint Valentine
37,Geneviève,Carpentier,2004-11-22,70,5,0,Female,Léger
38,Frédéric,Marie,1995-09-14,20,8,4,Male,Philippenec
39,Gilles,Carpentier,1996-05-18,81,7,7,Male,Rivière
40,Alex,Vallet,1996-09-22,6,6,2,Female,Humbert
41,Mathilde,Grondin,1996-06-17,26,0,0,Female,Saint Claudine
42,Philippe,Boutin,2001-09-28,50,4,2,Male,Lelièvre
43,Laurence,Rossi,2003-10-23,74,0,0,Female,Lebon-la-Forêt
44,Michelle,Lebrun,2002-05-30,1,6,0,Female,LemaireBourg
45,Sylvie,Morin,2003-11-08,61,9,3,Female,Tanguy-sur-Lopes
46,Diane,Michel,2004-06-03,47,8,4,Female,Guibertboeuf
47,Constance,Bonneau,1997-10-08,93,5,1,Female,Hoaraudan
48,Dorothée,Vallet,1999-08-02,31,7,1,Female,BouchetBourg
49,Frédéric,Joubert,2000-10-21,69,10,7,Male,Sainte Alfred-sur-Mer
50,Arthur,Techer,2002-12-16,70,8,5,Male,Lagarde
51,Célina,Nicolas,1994-05-24,20,3,0,Female,Saint Clémence
52,Jacques,Robert,2005-01-11,99,8,3,Male,Lucas-les-Bains
53,Cécile,Langlois,2006-03-21,60,7,3,Female,Daviddan
54,Aimé,Collet,1994-04-28,26,4,4,Male,Saint Denis-la-Forêt
55,Benjamin,Didier,1996-06-11,74,1,0,Male,Bouvet-sur-Hernandez
56,Julien,Lopes,2003-07-04,44,0,0,Male,Saint Susandan
57,Louis,Merle,2007-05-27,31,1,0,Male,Allard
58,Françoise,Maillet,1994-11-03,79,2,1,Female,De Sousa
59,Audrey,Navarro,2007-09-25,92,7,4,Female,Saint FrédéricBourg
60,Patrick,Garnier,2006-10-30,43,3,0,Male,Delahayedan
61,Sébastien,Leclercq,1998-04-17,2,1,1,Male,Diasboeuf
62,Maryse,Pons,1999-06-01,91,3,2,Female,De Oliveira
63,Patrick,Michel,2007-04-01,11,2,2,Male,Fournier
64,Julien,Duval,2002-03-29,27,6,6,Male,Lemoineboeuf
65,Timothée,Marie,1995-05-02,77,5,4,Male,Leblanc
66,Pauline,De Sousa,1997-02-16,89,8,8,Female,Rodrigues
67,Marcelle,Texier,1998-07-13,30,6,5,Female,Delaunaydan
68,Joseph,Launay,2002-12-11,78,5,5,Male,Guillou
69,Luce,Dumas,1994-12-19,52,2,1,Female,Aubert
70,Céline,Leroy,2002-05-19,83,6,1,Female,AubryBourg
71,Thibaut,Barbe,2006-05-14,99,4,4,Male,Sainte François
72,Astrid,Jacquot,1997-06-22,22,8,5,Female,Barredan
73,Grégoire,Boulay,1998-08-03,21,4,3,Male,Blondel-la-Forêt
74,Simone,Léger,2004-02-18,36,3,3,Female,Lombard-les-Bains
75,Thibaut,Hernandez,2000-09-21,39,6,1,Male,Potier
76,Arthur,Besson,2007-08-06,20,5,3,Male,Sainte Sophie-la-Forêt
77,Thierry,Courtois,1995-08-13,47,1,1,Male,Voisin
78,Dorothée,Sauvage,1998-08-20,94,5,2,Female,Josephboeuf
79,Christophe,Bernier,2007-04-17,13,2,1,Male,Guilbert
80,René,Legros,2004-01-19,9,2,2,Male,Pineau-sur-Perret
81,Astrid,Bourdon,2005-01-15,98,2,0,Female,Gay
82,Jeanne,Pottier,1998-10-03,75,1,0,Female,Rolland
83,Marcel,Antoine,2004-06-18,39,7,2,Male,Rousseldan
84,Frédéric,Goncalves,1997-01-16,55,5,0,Male,Sainte Sébastien
85,Lucie,Tessier,2007-09-10,69,3,1,Female,FleuryBourg
